"session_id","n_hit","n_fa","n_miss","n_cr","acc_88","sum"
1720,30,30,0,0,"50%",60
1721,11,1,19,29,"67%",60
1722,18,7,12,22,"68%",59
1723,21,1,9,29,"83%",60
1724,19,2,11,28,"78%",60
1725,16,18,14,12,"47%",60
1726,17,9,13,21,"63%",60
1727,20,4,10,26,"77%",60
1728,20,2,10,28,"80%",60
1729,12,0,18,30,"70%",60
1730,16,5,14,25,"68%",60
1732,21,13,9,17,"63%",60
1735,21,2,9,28,"82%",60
1736,27,1,3,29,"93%",60
1737,21,3,9,27,"80%",60
1738,18,12,12,18,"60%",60
1740,24,1,6,29,"88%",60
1741,20,4,10,26,"77%",60
1742,24,3,6,27,"85%",60
1743,24,1,6,29,"88%",60
1746,20,1,10,29,"82%",60
1747,20,0,10,30,"83%",60
1748,18,13,12,17,"58%",60
1749,30,0,0,30,"100%",60
1750,12,1,18,29,"68%",60
1754,21,9,9,21,"70%",60
1755,28,1,2,29,"95%",60
1756,16,15,14,15,"52%",60
1758,18,5,12,25,"72%",60
1759,8,12,22,18,"43%",60
1760,10,9,20,21,"52%",60
1761,26,2,4,28,"90%",60
1765,16,1,14,29,"75%",60
1766,19,2,11,28,"78%",60
1767,20,1,10,29,"82%",60
1768,18,23,12,7,"42%",60
1769,20,6,10,24,"73%",60
1770,11,11,19,19,"50%",60
1771,16,14,14,16,"53%",60
1772,25,0,5,30,"92%",60
1773,18,11,12,19,"62%",60
1774,17,6,13,24,"68%",60
1776,15,2,15,28,"72%",60
1777,24,4,6,26,"83%",60
1778,24,4,6,26,"83%",60
1779,26,5,4,25,"85%",60
1780,20,11,10,19,"65%",60
1781,25,8,5,22,"78%",60
1782,12,1,18,29,"68%",60
1783,15,13,15,17,"53%",60
1784,19,6,11,24,"72%",60
1785,30,2,0,28,"97%",60
1787,14,9,16,21,"58%",60
1789,15,0,5,15,"86%",35
1790,14,10,16,20,"57%",60
1792,27,3,3,27,"90%",60
1793,20,0,10,30,"83%",60
1794,25,15,5,15,"67%",60
1795,26,1,4,29,"92%",60
1796,27,7,3,23,"83%",60
1797,19,5,11,25,"73%",60
1798,21,8,9,22,"72%",60
1799,18,19,12,11,"48%",60
1800,13,1,17,29,"70%",60
1804,16,6,14,24,"67%",60
1805,25,2,5,28,"88%",60
1806,18,2,12,28,"77%",60
1808,18,3,12,27,"75%",60
1809,28,0,2,30,"97%",60
1810,11,2,19,28,"65%",60
1811,22,3,8,27,"82%",60
1812,18,9,12,21,"65%",60
1813,23,2,7,28,"85%",60
1814,23,5,7,25,"80%",60
1815,16,2,14,28,"73%",60
1816,29,5,2,25,"89%",61
1817,24,2,6,28,"87%",60
1818,23,0,7,30,"88%",60
1819,21,1,9,29,"83%",60
1820,21,10,9,20,"68%",60
1821,25,2,5,28,"88%",60
1823,20,9,10,21,"68%",60
1824,13,4,17,26,"65%",60
1827,15,0,15,30,"75%",60
1828,15,2,15,28,"72%",60
1829,16,4,14,26,"70%",60
1830,30,1,0,29,"98%",60
1831,27,1,3,29,"93%",60
1832,27,3,3,27,"90%",60
1833,24,18,6,12,"60%",60
1834,26,0,4,30,"93%",60
1836,17,0,13,30,"78%",60
1837,27,12,3,18,"75%",60
1838,20,7,10,23,"72%",60
1839,2,9,28,21,"38%",60
1840,21,5,9,25,"77%",60
1841,14,8,16,22,"60%",60
1842,19,0,11,30,"82%",60
1843,14,8,16,22,"60%",60
1844,17,2,13,28,"75%",60
1845,20,0,10,30,"83%",60
1846,12,15,18,15,"45%",60
1847,19,3,11,27,"77%",60
1850,13,13,17,17,"50%",60
1851,21,10,9,20,"68%",60
1856,24,3,6,27,"85%",60
1857,22,11,8,19,"68%",60
1859,11,9,19,21,"53%",60
1860,7,4,23,26,"55%",60
1861,26,2,4,28,"90%",60
1862,24,1,6,29,"88%",60
1863,27,2,3,28,"92%",60
1865,28,3,2,27,"92%",60
1866,29,3,1,27,"93%",60
1867,27,4,3,26,"88%",60
1868,21,0,9,30,"85%",60
1869,19,4,11,26,"75%",60
1870,14,11,16,19,"55%",60
1872,29,0,1,30,"98%",60
